"id","id_mzcr.cz","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_apple_mobility","key_gadm","key_google_mobility","key_hasc","key_local","key_nuts","latitude","longitude","population","population_data_source","population_data_source_url"
"4300d0ae","CZ0533",3,"Pardubický","Svitavy",,"CZE.9.3_1","ChIJyYUDsGKJDUcRAKwUZg-vAAM","CZ.EK.SY","CZ0533","CZ053",49.7436447143555,16.4669163002826,103245,"Statoids (2011)","http://www.statoids.com/ycz.html"
"dd64450d","CZ0534",3,"Pardubický","Ústí nad Orlicí",,"CZE.9.4_1","ChIJHQXKK6X6DUcREKwUZg-vAAM","CZ.EK.UO","CZ0534","CZ053",50.006202697754,16.4291006194221,136760,"Statoids (2011)","http://www.statoids.com/ycz.html"
"b098fc71","CZ0321",3,"Plzeňský","Domažlice",,"CZE.10.1_1","ChIJC4s6XVilCkcRQKoUZg-vAAM","CZ.PK.DO","CZ0321","CZ032",49.4851226806642,12.8911767193076,59926,"Statoids (2011)","http://www.statoids.com/ycz.html"
"2991adcb","CZ0322",3,"Plzeňský","Klatovy",,"CZE.10.2_1","ChIJH34ubynVCkcRUKoUZg-vAAM","CZ.PK.KT","CZ0322","CZ032",49.2387084960938,13.4032285243917,85726,"Statoids (2011)","http://www.statoids.com/ycz.html"
"c0f208fe","CZ0324",3,"Plzeňský","Plzen-jih",,"CZE.10.4_1","ChIJBzUkRP7nCkcRcKoUZg-vAAM","CZ.PK.PJ","CZ0324","CZ032",49.5660800933838,13.443769226911,62389,"Statoids (2011)","http://www.statoids.com/ycz.html"
"5e969d5d","CZ0323",3,"Plzeňský","Plzen-mesto",,"CZE.10.3_1","ChIJw62-3mTjCkcRnR4yybj4S2w","CZ.PK.PM","CZ0323","CZ032",49.7418594360352,13.3761466323926,188045,"Statoids (2011)","http://www.statoids.com/ycz.html"
"b7f53868","CZ0325",3,"Plzeňský","Plzen-sever",,"CZE.10.5_1","ChIJIYd-lzr1CkcRgKoUZg-vAAM","CZ.PK.PS","CZ0325","CZ032",49.8852195739746,13.278408606682,74940,"Statoids (2011)","http://www.statoids.com/ycz.html"
"2efc69d2","CZ0326",3,"Plzeňský","Rokycany",,"CZE.10.6_1","ChIJG54q847-CkcRkKoUZg-vAAM","CZ.PK.RO","CZ0326","CZ032",49.8017501831055,13.6551788449786,47458,"Statoids (2011)","http://www.statoids.com/ycz.html"
"59fb5944","CZ0327",3,"Plzeňský","Tachov",,"CZE.10.7_1","ChIJA31YF1J2oEcRoKoUZg-vAAM","CZ.PK.TC","CZ0327","CZ032",49.7785110473633,12.7580572110106,51917,"Statoids (2011)","http://www.statoids.com/ycz.html"
"f62d7a0b","CZ0100",3,"Praha","Praha",,"CZE.11_1","ChIJi3lwCZyTC0cRIKgUZg-vAAE","CZ.PM.AA","CZ0100","CZ010",50.0636986041279,14.4764025063456,1268796,"Statoids (2011)","http://www.statoids.com/ycz.html"
"836cf4c4","CZ0201",3,"Středočeský","Benešov",,"CZE.12.1_1","ChIJgdH0HOmHDEcREKkUZg-vAAM","CZ.SK.BN","CZ0201","CZ020",49.7059516906739,14.7690521174966,95459,"Statoids (2011)","http://www.statoids.com/ycz.html"
"1a65a57e","CZ0202",3,"Středočeský","Beroun",,"CZE.12.2_1","ChIJy_gxcQSmC0cRIKkUZg-vAAM","CZ.SK.BE","CZ0202","CZ020",49.898717880249,14.0266831542329,86160,"Statoids (2011)","http://www.statoids.com/ycz.html"
"6d6295e8","CZ0203",3,"Středočeský","Kladno",,"CZE.12.3_1","ChIJb2aRvKXJC0cRMKkUZg-vAAM","CZ.SK.KL","CZ0203","CZ020",50.179672241211,14.117180842321,158799,"Statoids (2011)","http://www.statoids.com/ycz.html"
"f306004b","CZ0204",3,"Středočeský","Kolín",,"CZE.12.4_1","ChIJ1z12Jn6KC0cRO4UXBKZ_beM","CZ.SK.KO","CZ0204","CZ020",49.9838714599609,15.0361117009689,96001,"Statoids (2011)","http://www.statoids.com/ycz.html"
