"id","id_gov.co","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_gadm","key_google_mobility","key_hasc","key_jhu_csse","key_local","latitude","longitude","population","population_data_source_url","population_data_source"
"f52c6997","91405",3,"Amazonas","La Chorrera","COL.1.2_1",,"CO.AM.LC","COAMA91405","91405",-1.46449953317637,-72.5971146350386,6900,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"1b2208bb","91407",3,"Amazonas","La Pedrera","COL.1.3_1",,"CO.AM.LP","COAMA91407","91407",-1.37844997644422,-71.5572431819462,7324,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"f5480552","91001",3,"Amazonas","Leticia","COL.1.4_1","ChIJZzhKl3328pEReiqwU14on2s","CO.AM.LE","COAMA91001","91001",-3.73214948177332,-70.0599566454612,78061,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"d31c3a9e","91460",3,"Amazonas","Mirití-Paraná","COL.1.5_1",,"CO.AM.MI","COAMA91460","91460",-0.732649505138369,-70.8341357309505,13,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"afa9a4ec","91530",3,"Amazonas","Puerto Alegria",,,,"COAMA91530","91530",-1.0056,-74.0143,1277,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"46ca01d9","91536",3,"Amazonas","Puerto Arica",,,,"COAMA91536","91536",-2.1495,-71.7546,1350,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"e0e8322b","91540",3,"Amazonas","Puerto Nariño","COL.1.6_1",,"CO.AM.PN","COAMA91540","91540",-3.5735000371933,-70.4315335261119,14103,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"a9445654","91669",3,"Amazonas","Puerto Santander","COL.1.7_1",,"CO.AM.PS","COAMA91669","91669",-0.451199010014477,-71.8114583631513,4943,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"5819103a","91798",3,"Amazonas","Tarapacá","COL.1.8_1",,"CO.AM.TA","COAMA91798","91798",-2.50181400775909,-69.96111473641,7817,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"d0d1e853","5002",3,"Antioquia","Abejorral","COL.2.1_1",,"CO.AN.AB","COANT05002","05002",5.793200492859,-75.4436216491279,28549,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"39b24d66","5004",3,"Antioquia","Abriaquí","COL.2.2_1",,"CO.AN.AQ","COANT05004","05004",6.62845039367682,-76.0958160191436,4004,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"7beedb6b","5021",3,"Antioquia","Alejandría","COL.2.3_1",,"CO.AN.AJ","COANT05021","05021",6.34410047531134,-75.1244052271438,5278,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"15f2dabc","5030",3,"Antioquia","Amagá","COL.2.4_1","ChIJc0LyceOHRo4Rnr1RYJMZ08Q","CO.AN.AM","COANT05030","05030",6.02305006980905,-75.7302449643197,36854,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"62f5ea2a","5031",3,"Antioquia","Amalfi","COL.2.5_1","ChIJqebBstSCRI4REDynBDsb7xk","CO.AN.AF","COANT05031","05031",7.01824951171878,-74.9614553872346,28860,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"129f1ea5","5034",3,"Antioquia","Andes","COL.2.6_1","ChIJCeVNqAJORo4R6TCF5Q2BP1k","CO.AN.AD","COANT05034","05034",5.61800003051764,-76.0051718516238,56628,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"fc917f89","5036",3,"Antioquia","Angelópolis","COL.2.7_1",,"CO.AN.AL","COANT05036","05036",6.12285041809091,-75.7266736075756,11487,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"1b29528e","5038",3,"Antioquia","Angostura","COL.2.8_1",,"CO.AN.AS","COANT05038","05038",6.85755014419561,-75.353099138999,20066,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"5ab34c7b","5040",3,"Antioquia","Anorí","COL.2.9_1",,"CO.AN.AN","COANT05040","05040",7.15484952926641,-75.1685024384925,21149,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"5dde8862","5044",3,"Antioquia","Anzá","COL.2.10_1",,"CO.AN.AZ","COANT05044","05044",6.31409955024719,-75.9241619726725,10605,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"2ad9b8f4","5045",3,"Antioquia","Apartadó","COL.2.11_1","ChIJC_V-a3oNUI4RRAefGvFtg_4","CO.AN.AP","COANT05045","05045",7.9305500984193,-76.5547525945011,181751,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"34af4dac","5051",3,"Antioquia","Arboletes","COL.2.12_1","ChIJfR3ArrYAWo4REYfHi_2mpuU","CO.AN.AR","COANT05051","05051",8.64575099945068,-76.3832323864795,40303,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"33c289b5","5055",3,"Antioquia","Argelia","COL.2.13_1",,"CO.AN.AG","COANT05055","05055",5.70254945755008,-75.1314239770893,13863,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"3a74c59e","5059",3,"Antioquia","Armenia","COL.2.14_1",,"CO.AN.AA","COANT05059","05059",6.16834950447083,-75.8095656595517,7162,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"0842a71c","5079",3,"Antioquia","Barbosa","COL.2.15_1","ChIJiRwtXhsWRI4RISuEa03uNxA","CO.AN.BB","COANT05079","05079",6.42980098724377,-75.3508495302675,57961,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"f8dd8b45","5088",3,"Antioquia","Bello","COL.2.16_1","ChIJ4--dL6UvRI4RwPgpnwjcGUg","CO.AN.BL","COANT05088","05088",6.35295057296756,-75.6016164299916,510802,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"1f65a642","5086",3,"Antioquia","Belmira","COL.2.17_1",,"CO.AN.BM","COANT05086","05086",6.63355112075814,-75.6932145750212,8794,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"981a02a0","5091",3,"Antioquia","Betania","COL.2.18_1",,"CO.AN.BN","COANT05091","05091",5.71650004386902,-76.0405641300029,15630,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"7614638c","5093",3,"Antioquia","Betulia","COL.2.19_1",,"CO.AN.BE","COANT05093","05093",6.18575000762945,-75.9544302279763,21997,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"481ad3de","5101",3,"Antioquia","Bolívar","COL.2.20_1","ChIJ_6OxiqlBRo4RG-9CX5x95dk","CO.AN.BO","COANT05101","05101",5.83364939689636,-76.0427073139729,38412,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"a17976eb","5107",3,"Antioquia","Briceño","COL.2.21_1",,"CO.AN.BR","COANT05107","05107",7.11934900283819,-75.5826140646374,12375,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"bf0f83b3","5113",3,"Antioquia","Buriticá","COL.2.22_1","ChIJ8eWEEQWmRY4RvKNIBPnWhbQ","CO.AN.BU","COANT05113","05113",6.81415104866036,-75.9301493903505,9659,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"0d2b81ca","5120",3,"Antioquia","Cáceres","COL.2.23_1",,"CO.AN.CE","COANT05120","05120",7.66094851493838,-75.2530715991394,40268,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"7d417545","5125",3,"Antioquia","Caicedo","COL.2.24_1",,"CO.AN.CD","COANT05125","05125",6.42615079879769,-75.9789125942899,10850,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"74f7396e","5129",3,"Antioquia","Caldas","COL.2.25_1","ChIJf-dUH5CGRo4RW3Idst1_jsc","CO.AN.CL","COANT05129","05129",6.03965067863476,-75.6382190007202,92258,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"135d7492","5134",3,"Antioquia","Campamento","COL.2.26_1",,"CO.AN.CM","COANT05134","05134",7.05885052680972,-75.3048266036458,13157,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"1aeb38b9","5138",3,"Antioquia","Cañasgordas","COL.2.27_1",,"CO.AN.CG","COANT05138","05138",6.83184957504278,-76.0428147571559,23330,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"b57f4760","5142",3,"Antioquia","Caracolí","COL.2.28_1",,"CO.AN.CA","COANT05142","05142",6.33344936370858,-74.7484575105577,6802,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"2b1bd2c3","5145",3,"Antioquia","Caramanta","COL.2.29_1",,"CO.AN.CT","COANT05145","05145",5.54874944686893,-75.6639592439827,7788,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
"c515b3ef","5147",3,"Antioquia","Carepa","COL.2.30_1","ChIJtUh58SgOUI4R1gFg2qdbZV0","CO.AN.CP","COANT05147","05147",7.81590056419375,-76.7546612048875,61021,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
