"id","pop","pop_14","pop_15_64","pop_65","pop_density","pop_death_rate","pop_age"
"Bulgaria",7024216,0.145954653179814,0.643826202477506,0.21021914434268,64.7035372144436,0.0155,43.7
"Burkina Faso",19751535,0.449480813221662,0.526449378491703,0.0240698082866355,72.1912828947368,0.008341,17.9
"Cabo Verde",543767,0.287777669479759,0.666129058953559,0.0460932715666821,134.929776674938,0.005682,26.8
"Cambodia",16249798,0.312014147627244,0.642299052197099,0.0456868001756576,92.0564128710628,0.006017,26.4
"Cameroon",25216237,0.426315798448676,0.546395427998918,0.0272887735524057,53.3439889149796,0.009501,18.5
"Canada",37058856,0.158702508744405,0.668977424466943,0.172320066788651,4.07530821431988,0.0075,41.8
"Central African Republic",4666377,0.44294320550801,0.52879905742539,0.0282577370666008,7.49041221227006,0.012671,20
"Chad",15477751,0.47126299988842,0.50393181066809,0.0248051894434901,12.2917336404066,0.012309,16.1
"Chile",18729160,0.197539024707995,0.687162958723189,0.115298016568816,25.1894460666519,0.006076,35.5
"China",1392730000,0.178770027525543,0.712021137123803,0.109208835350654,148.348833270666,0.00711,38.4
"Colombia",49648685,0.23077895979964,0.684440570001664,0.0847804701986958,44.7487021180712,0.005503,31.2
"Congo (Brazzaville)",5244363,0.417635024604532,0.555547780005145,0.0268171953903232,15.3568462664715,0.006828,19.5
"Congo (Kinshasa)",84068091,0.461656420864844,0.508165172919176,0.0301784062159803,37.0825923557045,0.009691,16.7
"Costa Rica",4999441,0.213247441063911,0.691254082206391,0.0954984767296984,97.9130630630631,0.005005,32.6
"Cote d'Ivoire",25069229,0.419369721367589,0.552040848482383,0.0285894301500285,78.8340534591195,0.010262,20.3
"Croatia",4089400,0.145119400058464,0.650426269817306,0.20445433012423,73.0771979985704,0.013,43.9
"Cuba",11338138,0.162112389922363,0.686025495906116,0.151862114171521,108.999596231494,0.008827,42.1
"Cyprus",1189265,0.16787847956511,0.694930902700408,0.137190617734483,128.708333333333,0.006952,37.9
"Czechia",10625695,0.155866055197434,0.649925175870224,0.194208768932343,137.602887852888,0.0105,43.3
"Denmark",5797446,0.164582625623987,0.637287848006111,0.198129526369902,138.067301738509,0.0082,42
"Djibouti",958920,0.295741159613441,0.65898304660541,0.0452757937811482,41.3684210526316,0.007293,24.9
"Dominica",71625,0.229,0.668,0.103,95.5,0.0061,34.9
"Dominican Republic",10627165,0.279771295026574,0.649400530208454,0.0708281747649721,219.97857586421,0.00612,27.9
"Ecuador",17084357,0.280285920021109,0.64814118271228,0.0715728972666108,68.7886817522951,0.005101,28.8
"Egypt",98423595,0.337987207092348,0.60971499944556,0.0522977934620923,98.8734692852479,0.005863,24.1
"El Salvador",6420744,0.271320809139623,0.645808290812314,0.0828709000480629,309.881467181467,0.007011,27.7
"Equatorial Guinea",1308974,0.371165988655245,0.604255237876965,0.0245787734677897,46.6657397504456,0.009542,20.3
"Eritrea",4475000,0.421,0.543,0.036,51.8,0.007326,20.3
"Estonia",1320884,0.163570737459559,0.640165694070692,0.196263568469749,30.3861053600184,0.0118,43.7
"Eswatini",1136191,0.381124915403848,0.578729205187801,0.0401458794083506,66.0576162790698,0.009843,23.7
"Ethiopia",109224559,0.407829819073234,0.557158850950668,0.0350113299760986,109.224559,0.006691,19.8
"Fiji",883483,0.295126222009931,0.650376973863674,0.0544968041263952,48.3570333880679,0.00818,29.9
"Finland",5518050,0.161451829725838,0.62134029481894,0.217207875455222,18.1568556480537,0.0098,42.8
"France",66987244,0.179564644444787,0.620089108085333,0.200346247469881,122.338395739199,0.009,41.7
"Gabon",2119275,0.370258696960045,0.594102228356395,0.0356390746835592,8.22476423332169,0.006998,21
"Gambia",2280102,0.442687450605107,0.53141274000107,0.0258998093938232,225.30652173913,0.008044,21.8
