"id","id_ssi.dk","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_apple_mobility","key_gadm","key_google_mobility","key_hasc","key_local","key_nuts","latitude","longitude","population","population_data_source_url","population_data_source"
"f7592df4","410",3,"Syddanmark","Middelfart",,"DNK.5.13_1","ChIJQZhMduO_TEYR77Do4_W99nI","DK.SD.MI","410","DK031",55.4472217559814,9.93763283746949,36113,"http://www.statoids.com/ydk.html","Statoids (2005)"
"269b96bd","480",3,"Syddanmark","Nordfyn",,"DNK.5.14_1","ChIJs4Si0z7kTEYR7nehR7TpHUA","DK.SD.BO","480","DK031",55.5142326354981,10.236733892903,28655,"http://www.statoids.com/ydk.html","Statoids (2005)"
"9335e8f0","450",3,"Syddanmark","Nyborg",,"DNK.5.15_1","ChIJkUyFWbs-TUYR9td_JRRHIYA","DK.SD.NY","450","DK031",55.2986869812012,10.6842402767731,31009,"http://www.statoids.com/ydk.html","Statoids (2005)"
"cf1f8ba5","461",3,"Syddanmark","Odense",,"DNK.5.16_1","ChIJwSSXQjXZTEYRByAj2dD1f7c","DK.SD.OD","461","DK031",55.3846435546876,10.3536283550382,185871,"http://www.statoids.com/ydk.html","Statoids (2005)"
"8becb386","540",3,"Syddanmark","Sønderborg",,"DNK.5.17_1","ChIJT6EZxFM2s0cRNjXNMMe5zwI","DK.SD.SO","540","DK032",54.97194480896,9.92472219467169,76459,"http://www.statoids.com/ydk.html","Statoids (2005)"
"d8df32d6","479",3,"Syddanmark","Svendborg",,"DNK.5.18_1","ChIJcRH6dW8zTUYRnz0GshoswVo","DK.SD.SV","479","DK031",55.1234722137452,10.594814336958,58354,"http://www.statoids.com/ydk.html","Statoids (2005)"
"92f782c7","550",3,"Syddanmark","Tønder",,"DNK.5.19_1","ChIJc31eoKW2tEcRvtpCT1xOoh8","DK.SD.TO","550","DK032",55.0630607604981,8.88924929609276,41140,"http://www.statoids.com/ydk.html","Statoids (2005)"
"39c8b1ff","573",3,"Syddanmark","Varde",,"DNK.5.20_1","ChIJhxswtXwbS0YRSLUzbEZX1bY","DK.SD.VA","573","DK032",55.6637516021729,8.51115942430921,50094,"http://www.statoids.com/ydk.html","Statoids (2005)"
"d0ab14ca","575",3,"Syddanmark","Vejen",,"DNK.5.21_1","ChIJT-oCRbdDS0YRpylHQnGL-yk","DK.SD.VN","575","DK032",55.4570484161378,9.0305740565444,41350,"http://www.statoids.com/ydk.html","Statoids (2005)"
"c6eb9b18","630",3,"Syddanmark","Vejle",,"DNK.5.22_1","ChIJiWKHBiB8S0YRoAlwe4zayog","DK.SD.VL","630","DK032",55.7624111175537,9.35239885022548,102446,"http://www.statoids.com/ydk.html","Statoids (2005)"
