"id","id_gov_uk","id_github.oxcgrt.covidpolicytracker","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_gadm","key_google_mobility","key_hasc","key_jhu_csse","key_local","key_nuts","latitude","longitude","population"
"39ddcb14","E06000001",,3,"England","Hartlepool","GBR.1.39.1_1",,"GB.HP.HP",,"E06000001","UKC11",54.6747226715089,-1.28040176833793,93836
"50f9369c","E07000062",,3,"England","Hastings","GBR.1.32.2_1",,"GB.ES.HA",,"E07000062","UKJ22",50.8742980957032,0.57178380988459,92554
"396f4b7f","E07000090",,3,"England","Havant","GBR.1.38.7_1",,"GB.HA.HV",,"E07000090","UKJ35",50.8695659637452,-0.994146451089103,126339
"48ea1f1f","E09000016",,3,"England","Havering","GBR.1.36.15_1",,"GB.GL.HV",,"E09000016","UKI52",51.5563983917237,0.256412256784504,260651
"2e1d7267","E06000019",,3,"England","Herefordshire, County of","GBR.1.40.1_1",,"GB.HE.HE",,"E06000019","UKG11",52.1025638580323,-2.72895695072072,193615
"37b4c34d","E07000098",,3,"England","Hertsmere","GBR.1.41.4_1",,"GB.HT.HE",,"E07000098","UKH23",51.6779041290284,-0.272759186267516,105471
"5de43656","E07000037",,3,"England","High Peak","GBR.1.25.6_1",,"GB.DB.HP",,"E07000037","UKF13",53.3722763061524,-1.85150167968166,92633
"3fed2f89","E09000017",,3,"England","Hillingdon","GBR.1.36.16_1",,"GB.GL.HD",,"E09000017","UKI74",51.525131225586,-0.455216402834372,309014
"2c4ca8ee","E07000132",,3,"England","Hinckley and Bosworth","GBR.1.51.4_1",,"GB.LE.HB",,"E07000132","UKF22",52.6112499237061,-1.41744211807813,113666
"477bd379","E07000227",,3,"England","Horsham","GBR.1.110.5_1",,"GB.WS.HO",,"E07000227","UKJ28",51.011251449585,-0.363368239777216,145474
"af523218","E09000018",,3,"England","Hounslow","GBR.1.36.17_1",,"GB.GL.HU",,"E09000018","UKI75",51.4553108215333,-0.381827273789634,271767
"86b1f1e1","E07000011",,3,"England","Huntingdonshire","GBR.1.16.4_1",,"GB.CM.HU",,"E07000011","UKH12",52.3711299896241,-0.215064969072129,178985
"db59f883","E07000120",,3,"England","Hyndburn","GBR.1.48.4_1",,"GB.LA.HY",,"E07000120","UKD46",53.7627925872804,-2.3941923092889,81133
"05274574","E07000202",,3,"England","Ipswich","GBR.1.96.3_1",,"GB.SF.IP",,"E07000202","UKH14",52.04714012146,1.15631056292959,135979
"c3d59bb3","E06000046",,3,"England","Isle of Wight","GBR.1.42.1_1",,"GB.IW.IW",,"E06000046","UKJ34",50.6711101531984,-1.33250099420547,142296
"d855028e","E09000019",,3,"England","Islington","GBR.1.36.18_1",,"GB.GL.IT",,"E09000019","UKI43",51.5434474945069,-0.0932570050012093,248115
