"id","id_gv_at","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_gadm","key_google_mobility","key_hasc","key_local","key_nuts","latitude","longitude","population"
"3166438d",501,3,"Salzburg","Salzburg","AUT.5.3_1",,"AT.SZ.SS","501","AT323",47.80605316,13.0573532236967,155021
"df6822a1",503,3,"Salzburg","Salzburg Umgebung","AUT.5.2_1",,"AT.SZ.SL","503","AT323",47.832683565,13.1845998751503,153492
"410cb702",504,3,"Salzburg","Sankt Johann im Pongau","AUT.5.4_1",,"AT.SZ.JO","504","AT322",47.282146455,13.3364208689955,81194
"360b8794",505,3,"Salzburg","Tamsweg","AUT.5.5_1",,"AT.SZ.TA","505","AT321",47.116249085,13.6168499123049,20251
"af02d62e",506,3,"Salzburg","Zell am See","AUT.5.6_1",,"AT.SZ.ZE","506","AT322",47.35429192,12.7718584577581,87628
"01169f56",621,3,"Steiermark","Bruck-Mürzzuschlag","AUT.6.1_1",,"AT.ST.BZ","621","AT223",47.568559645,15.3639325773157,98697
"dd2e9cf8",603,3,"Steiermark","Deutschlandsberg","AUT.6.2_1",,"AT.ST.DL","603","AT225",46.808467865,15.1873460272004,60867
"3320fdd4",601,3,"Steiermark","Graz","AUT.6.4_1",,"AT.ST.GZ","601","AT221",47.07104683,15.4393052822,291072
"ad446877",606,3,"Steiermark","Graz Umgebung","AUT.6.3_1",,"AT.ST.GU","606","AT221",47.10913658,15.275438575994,156070
"981fceec",622,3,"Steiermark","Hartberg-Fürstenfeld","AUT.6.5_1",,"AT.ST.HF","622","AT224",47.24755478,15.9237849874472,90606
"5d3cfc03",610,3,"Steiermark","Leibnitz","AUT.6.6_1",,"AT.ST.LB","610","AT225",46.81488037,15.5104327713287,84756
"2a3bcc95",611,3,"Steiermark","Leoben","AUT.6.7_1",,"AT.ST.LN","611","AT223",47.42004013,14.8842372135261,59700
"b3329d2f",612,3,"Steiermark","Liezen","AUT.6.8_1",,"AT.ST.LI","612","AT222",47.50697327,14.2115881875448,79652
"5a51381a",614,3,"Steiermark","Murau","AUT.6.9_1",,"AT.ST.MU","614","AT226",47.118618015,14.2198222369947,27543
"7611afc0",620,3,"Steiermark","Murtal","AUT.6.10_1",,"AT.ST.MT","620","AT226",47.230594635,14.7119501715221,71698
"ef18fe7a",623,3,"Steiermark","Südoststeiermark","AUT.6.11_1",,"AT.ST.SO","623","AT224",46.854234695,15.8056777289043,84036
"b45f5936",616,3,"Steiermark","Voitsberg","AUT.6.12_1",,"AT.ST.VO","616","AT225",47.059345245,15.0586126157565,51044
"c35869a0",617,3,"Steiermark","Weiz","AUT.6.13_1",,"AT.ST.WZ","617","AT224",47.29934883,15.5732510570953,90654
"abebc659",702,3,"Tirol","Imst","AUT.7.1_1",,"AT.TR.IM","702","AT334",47.08543205,10.9244579123305,60474
"32e297e3",701,3,"Tirol","Innsbruck","AUT.7.3_1",,"AT.TR.IN","701","AT332",47.28339386,11.3755548203093,131961
"dcecf6cf",703,3,"Tirol","Innsbruck Land","AUT.7.2_1",,"AT.TR.IL","703","AT332",47.20560646,11.3823635822488,180453
"4288636c",704,3,"Tirol","Kitzbühel","AUT.7.4_1",,"AT.TR.KB","704","AT335",47.48214912,12.5023641199474,64168
"358f53fa",705,3,"Tirol","Kufstein","AUT.7.5_1",,"AT.TR.KU","705","AT335",47.531166075,12.077336875588,110287
"ac860240",706,3,"Tirol","Landeck","AUT.7.6_1",,"AT.TR.LA","706","AT334",47.03229141,10.4746070513147,44386
"db8132d6",707,3,"Tirol","Lienz","AUT.7.7_1",,"AT.TR.LZ","707","AT333",46.904527665,12.51133674132,48738
"4b3e2f47",708,3,"Tirol","Reutte","AUT.7.8_1",,"AT.TR.RE","708","AT331",47.360689165,10.57396129128,32838
"3c391fd1",709,3,"Tirol","Schwaz","AUT.7.9_1",,"AT.TR.SZ","709","AT335",47.2844429,11.8332861419262,84329
"39bed0de",801,3,"Vorarlberg","Bludenz","AUT.8.1_1",,"AT.VO.BZ","801","AT341",47.0667305,9.87074168735008,64107
"a0b78164",802,3,"Vorarlberg","Bregenz","AUT.8.3_1",,"AT.VO.BG","802","AT341",47.410589215,9.93821257709981,134987
"d7b0b1f2",803,3,"Vorarlberg","Dornbirn","AUT.8.4_1",,"AT.VO.DO","803","AT342",47.371932985,9.75139431724732,89912
"49d42451",804,3,"Vorarlberg","Feldkirch","AUT.8.5_1",,"AT.VO.FK","804","AT342",47.259513855,9.67222290652612,108133
"4f7b8a7f",900,3,"Wien","Wien","AUT.9.1_1",,"AT.WI.WS","900","AT130",48.22413254,16.3757797349679,1911191
