"id","id_github.cssegisanddata.covid19unified","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_apple_mobility","key_gadm","key_google_mobility","key_jhu_csse","key_local","latitude","longitude","population","population_data_source_url","population_data_source"
"2ad9bcde","RUKRS",2,"Kursk Oblast",,,"RUS.37_1",,"RUKRS",,51.71459007,36.4715209330364,1127081,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"5c49a2e8","RULEN",2,"Leningrad Oblast",,,"RUS.38_1",,"RULEN",,59.879016875,32.9618037807859,1716868,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"619ca057","RULIP",2,"Lipetsk Oblast",,,"RUS.39_1",,"RULIP",,52.73610878,38.9329797575156,1173513,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"83b100c6","RUMAG",2,"Magadan Oblast",,,"RUS.40_1",,"RUMAG",,62.57283592,154.095603133423,156996,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"6ab26a0e","RUME",2,"Mari El Republic",,,"RUS.41_1",,"RUME",,56.59632492,47.9459285869321,696459,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"9a699588","RUMO",2,"Mordovia Republic",,,"RUS.42_1",,"RUMO",,54.41733551,44.5617537501211,834755,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"ee61ca91","RUMOW",2,"Moscow",,"Moscow","RUS.43_1",,"RUMOW",,55.71176529,37.6589453315994,12692466,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"00b41f8b","RUMOS",2,"Moscow Oblast",,,"RUS.44_1","ChIJIQM_h_dKtUYRxj0NcT3JMqo","RUMOS",,55.584680555,38.949706047094,70950000,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"f8ebd750","RUMUR",2,"Murmansk Oblast",,,"RUS.45_1",,"RUMUR",,68.00416565,34.560718400171,795409,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"aab6eca2","RUNEN",2,"Nenets Autonomous Okrug",,,"RUS.46_1",,"RUNEN",,67.84765625,58.5907668058334,42090,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"9fcd7512","RUNIZ",2,"Nizhny Novgorod Oblast",,,"RUS.47_1","ChIJN_hUanoqTkERm9R39ss1R90","RUNIZ",,56.28096771,44.3050931379272,3310597,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"6b7f2601","RUSE",2,"North Ossetia - Alania Republic",,,"RUS.48_1",,"RUSE",,43.15807152,44.4404040125599,712980,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"8bad3080","RUNGR",2,"Novgorod Oblast",,,"RUS.49_1",,"RUNGR",,58.144731525,31.8619213634411,634111,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"cee34e4a","RUNVS",2,"Novosibirsk Oblast",,,"RUS.50_1","ChIJe2nQiGbm30IRAutmcU66Spk","RUNVS",,55.267513275,80.0447239217914,2788849,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"798829cc","RUOMS",2,"Omsk Oblast",,,"RUS.51_1","ChIJW7z_teMBq0MRcKna2vZ3i8U","RUOMS",,56.01184845,73.1948829905627,1977665,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"7a32c14b","RUORL",2,"Orel Oblast",,,"RUS.52_1",,"RUORL",,52.798986435,36.4087229525783,786935,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"8d32a361","RUORE",2,"Orenburg Oblast",,,"RUS.53_1",,"RUORE",,52.449762345,53.5444305046306,2033072,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"f954fa12","RUPNZ",2,"Penza Oblast",,,"RUS.54_1",,"RUPNZ",,53.14325714,44.7793137373899,1386186,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"d6aa5a33","RUPER",2,"Perm Krai",,,"RUS.55_1","ChIJ51FQeuDG6EMRjHj66opi6jU","RUPER",,58.895669935,56.4418732299013,2819421,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"bc673e3b","RUPRI",2,"Primorsky Krai",,,"RUS.56_1",,"RUPRI",,45.369094845,135.11855123599,1956497,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"c91700d2","RUPSK",2,"Pskov Oblast",,,"RUS.57_1",,"RUPSK",,57.29951286,29.2197890729902,673423,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"9a1bf66b","RUROS",2,"Rostov Oblast",,,"RUS.58_1","ChIJkXI-WwG540ARN8AWk4zKKZM","RUROS",,48.06903267,40.9416902206357,4277976,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"f6f102c2","RURYA",2,"Ryazan Oblast",,,"RUS.59_1",,"RURYA",,54.31782913,40.6670824745455,1154114,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"40e77413","RUSPE",2,"Saint Petersburg",,"Saint Petersburg - Russia","RUS.14_1","ChIJGd0F2PI3lkYRMh-_wrlIF8M","RUSPE",,59.934720995,30.3629052535881,49910000,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"c9f90a00","RUSA",2,"Sakha (Yakutiya) Republic",,,"RUS.60_1",,"RUSA",,64.751766205,129.303877015026,958500,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"f02e2e89","RUSAK",2,"Sakhalin Oblast",,,"RUS.61_1",,"RUSAK",,50.15931129,143.026554276212,497973,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"b84ac485","RUSAM",2,"Samara Oblast",,,"RUS.62_1","ChIJTaJFX1QZZkERclRhcGcSTvo","RUSAM",,53.24206352,50.1471400488421,3215532,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"fa118322","RUSAR",2,"Saratov Oblast",,,"RUS.63_1",,"RUSAR",,51.31865501,46.6109971172426,2521892,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
"dc468b79","RUSMO",2,"Smolensk Oblast",,,"RUS.64_1",,"RUSMO",,54.726867675,32.9275120769953,985537,"https://en.wikipedia.org/wiki/List_of_federal_subjects_of_Russia_by_population","Wikipedia (2010)"
