"id","id_github.mpiktas.covid19lt","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_gadm","key_local","key_nuts","latitude","longitude","population","population_data_source","population_data_source_url"
,,,,,,"-",,,,,,
"e7bd7f0f","Alytaus apskr.",2,"Alytaus",,"LTU.1_1",,"LT021",54.230503085,24.0663368102004,132408,"Vaidotas Zemlys-Balevicius (2020)","https://github.com/mpiktas/covid19lt"
"b2358634","Kauno apskr.",2,"Kauno",,"LTU.2_1",,"LT022",55.016893385,24.0646994958279,565592,"Vaidotas Zemlys-Balevicius (2020)","https://github.com/mpiktas/covid19lt"
"8edd075a","Klaipėdos apskr.",2,"Klaipedos",,"LTU.3_1",,"LT023",55.70510292,21.441004365471,321795,"Vaidotas Zemlys-Balevicius (2020)","https://github.com/mpiktas/covid19lt"
"e6bbb951","Marijampolės apskr.",2,"Marijampoles",,"LTU.4_1",,"LT024",54.68228912,23.2026914111374,134848,"Vaidotas Zemlys-Balevicius (2020)","https://github.com/mpiktas/covid19lt"
"60d4b1af","Panevėžio apskr.",2,"Panevežio",,"LTU.5_1",,"LT025",55.92048645,25.0482357420178,207976,"Vaidotas Zemlys-Balevicius (2020)","https://github.com/mpiktas/covid19lt"
"3299f40b","Šiaulių apskr.",2,"Šiauliu",,"LTU.6_1",,"LT026",55.937934875,23.3957097534249,259897,"Vaidotas Zemlys-Balevicius (2020)","https://github.com/mpiktas/covid19lt"
"08bd7fea","Tauragės apskr.",2,"Taurages",,"LTU.7_1",,"LT027",55.36522865,22.412932761911,90108,"Vaidotas Zemlys-Balevicius (2020)","https://github.com/mpiktas/covid19lt"
"3a6e64bf","Telšių apskr.",2,"Telšiu",,"LTU.8_1",,"LT028",56.0107975,22.1442838106656,129342,"Vaidotas Zemlys-Balevicius (2020)","https://github.com/mpiktas/covid19lt"
"e0dae29b","Utenos apskr.",2,"Utenos",,"LTU.9_1",,"LT029",55.48779297,25.6559893944106,123450,"Vaidotas Zemlys-Balevicius (2020)","https://github.com/mpiktas/covid19lt"
"e51450dd","Vilniaus apskr.",2,"Vilniaus",,"LTU.10_1",,"LT011",54.8300972,25.2415711614125,829759,"Vaidotas Zemlys-Balevicius (2020)","https://github.com/mpiktas/covid19lt"
"f4de6278","Alytaus m.",3,"Alytaus","Alytaus m.","LTU.1.1.1_0",,"LT021",54.3698940277099,23.9915083973352,49195,"Vaidotas Zemlys-Balevicius (2020)","https://github.com/mpiktas/covid19lt"
"39846ce6","Alytaus r.",3,"Alytaus","Alytaus r.","LTU.1.1.2_0",,"LT021",54.3698940277099,23.9915083973352,25837,"Vaidotas Zemlys-Balevicius (2020)","https://github.com/mpiktas/covid19lt"
"a30fd478","Druskininkų",3,"Alytaus","Druskininkų","LTU.1.2_1",,"LT021",54.0057563781739,23.9863208683244,19011,"Vaidotas Zemlys-Balevicius (2020)","https://github.com/mpiktas/covid19lt"
"9e721fea","Lazdijų r.",3,"Alytaus","Lazdijų r.","LTU.1.3_1",,"LT021",54.1627407073975,23.7293090925646,17843,"Vaidotas Zemlys-Balevicius (2020)","https://github.com/mpiktas/covid19lt"
"20b4ac92","Varėnos r.",3,"Alytaus","Varėnos r.","LTU.1.4_1",,"LT021",54.1753978729248,24.4369859861531,20522,"Vaidotas Zemlys-Balevicius (2020)","https://github.com/mpiktas/covid19lt"
"12a12ea7","Birštono",3,"Kauno","Birštono","LTU.2.1_1",,"LT022",54.6143302917481,24.0352201993256,4035,"Vaidotas Zemlys-Balevicius (2020)","https://github.com/mpiktas/covid19lt"
"8ff29d8f","Jonavos r.",3,"Kauno","Jonavos r.","LTU.2.2_1",,"LT022",55.1285781860352,24.3042499483331,40746,"Vaidotas Zemlys-Balevicius (2020)","https://github.com/mpiktas/covid19lt"
"b527dd67","Kaišiadorių r.",3,"Kauno","Kaišiadorių r.","LTU.2.3_1",,"LT022",54.8399715423584,24.4720345615741,29188,"Vaidotas Zemlys-Balevicius (2020)","https://github.com/mpiktas/covid19lt"
"8846eeea","Kauno m.",3,"Kauno","Kauno m.","LTU.2.4.1_0",,"LT022",54.9700374603272,23.7504746692609,293257,"Vaidotas Zemlys-Balevicius (2020)","https://github.com/mpiktas/covid19lt"
