"id","id_github.minciencia.datoscovid19","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_gadm","key_google_mobility","key_jhu_csse","key_local","latitude","longitude","population"
"93f3c921","3202",3,"Atacama","Diego de Almagro","CHL.5.1.2_1",,"CLAT06","03202",-26.1148633956909,-69.2949146111836,14358
"e5369380","3303",3,"Atacama","Freirina","CHL.5.3.2_1",,"CLAT07","03303",-28.799162864685,-71.1998957344107,7681
"7b520623","3304",3,"Atacama","Huasco","CHL.5.3.3_1",,"CLAT08","03304",-28.270691871643,-70.9565589007851,11264
"e6b247ee","3103",3,"Atacama","Tierra Amarilla","CHL.5.2.3_1",,"CLAT09","03103",-27.943751335144,-69.6840593787187,14312
"0b38f2ac","3301",3,"Atacama","Vallenar","CHL.5.3.4_1",,"CLAT10","03301",-28.5621194839476,-70.4691990571502,57009
"5dbd95e7","11201",3,"Aysén","Aysen","CHL.1.1.1_1",,"CLAI01","11201",-45.994722366333,-73.3446633239692,25002
"5930e955","11401",3,"Aysén","Chile Chico","CHL.1.4.1_1",,"CLAI02","11401",-46.7750949859619,-72.5980574050039,5121
"c4b4c45d","11202",3,"Aysén","Cisnes","CHL.1.1.2_1",,"CLAI03","11202",-44.378360748291,-72.6853397559156,5828
"5c7fffd0","11301",3,"Aysén","Cochrane","CHL.1.2.1_1",,"CLAI04","11301",-47.3827896118164,-72.8352442402929,3685
"5ffb2bbe","11101",3,"Aysén","Coyhaique","CHL.1.3.1_1",,"CLAI05","11101",-45.4713630676269,-71.8607683677658,61210
"b3b3f4cb","11203",3,"Aysén","Guaitecas","CHL.1.1.3_1",,"CLAI07","11203",-43.8623600006103,-74.0491676330566,1599
"c6f27a04","11102",3,"Aysén","Lago Verde","CHL.1.3.2_1",,"CLAI08","11102",-44.4162101745605,-71.833219991506,920
"c576ae6a","11302",3,"Aysén","OHiggins","CHL.1.2.2_1",,"CLAI09","11302",-48.4940967559814,-72.9189031508818,661
"c039b8ef","11402",3,"Aysén","Rio Ibanez","CHL.1.4.2_1",,"CLAI10","11402",-46.2678146362305,-72.4389795585267,2699
"b2719efc","11303",3,"Aysén","Tortel","CHL.1.2.3_1",,"CLAI11","11303",-47.8708305358887,-73.9716644287109,572
"b548b063","8314",3,"Biobío","Alto Biobio","CHL.6.2.11.2_0",,"CLBI01","08314",-37.87,-71.35,6775
"45302417","8302",3,"Biobío","Antuco","CHL.6.2.1_1",,"CLBI02","08302",-37.3737621307373,-71.4467721603825,4306
"44f24e20","8202",3,"Biobío","Arauco","CHL.6.1.1_1",,"CLBI03","08202",-37.2788887023925,-73.3605748275968,38679
"32371481","8303",3,"Biobío","Cabrero","CHL.6.2.2_1",,"CLBI04","08303",-37.0787754058838,-72.3082457875851,30725
"33f57eb6","8203",3,"Biobío","Canete","CHL.6.1.2_1",,"CLBI05","08203",-37.8775901794433,-73.2883243373428,37003
"31b3c0ef","8103",3,"Biobío","Chiguayante","CHL.6.3.1.2_0",,"CLBI06","08103",-36.9,-73,91180
"dfbda1c3","8101",3,"Biobío","Concepcion","CHL.6.3.1.1_0",,"CLBI07","08101",-36.83,-72.95,238092
"ad91eb15","8204",3,"Biobío","Contulmo","CHL.6.1.3_1",,"CLBI08","08204",-38.0502758026123,-73.3322041932127,6330
"46b4f079","8102",3,"Biobío","Coronel","CHL.6.3.2.1_0",,"CLBI09","08102",-37.01,-73.13,125829
"da96db83","8205",3,"Biobío","Curanilahue","CHL.6.1.4_1",,"CLBI10","08205",-37.5011291503906,-73.2361683260509,33892
"afd7554c","8104",3,"Biobío","Florida","CHL.6.3.3_1",,"CLBI12","08104",-36.7883358001709,-72.7005271059463,11841
"5fafc138","8112",3,"Biobío","Hualpen","CHL.6.3.8.2_0",,"CLBI13","08112",-36.79,-73.14,97273
"d8d065da","8105",3,"Biobío","Hualqui","CHL.6.3.4_1",,"CLBI14","08105",-37.0213508605957,-72.8578442752083,26201
"ac538122","8304",3,"Biobío","Laja","CHL.6.2.3_1",,"CLBI15","08304",-37.2148113250732,-72.5328621204801,23873
"ddfb1f9a","8201",3,"Biobío","Lebu","CHL.6.1.5_1",,"CLBI16","08201",-37.6249999999999,-73.5853543387864,27100
"439f8a39","8206",3,"Biobío","Los Alamos","CHL.6.1.6_1",,"CLBI17","08206",-37.72878074646,-73.2993061112309,22524
"dc3975ad","8301",3,"Biobío","Los Angeles","CHL.6.2.4_1",,"CLBI18","08301",-37.3847045898437,-72.4068676319157,218515
"41d93460","8106",3,"Biobío","Lota","CHL.6.3.5_1",,"CLBI19","08106",-37.0727787017822,-73.0705241702359,45750
"db54b1b4","8305",3,"Biobío","Mulchen","CHL.6.2.5_1",,"CLBI20","08305",-37.7933902740478,-72.2364293502339,31041
"425de00e","8306",3,"Biobío","Nacimiento","CHL.6.2.6_1",,"CLBI21","08306",-37.4004306793213,-72.8299771446115,27944
"355ad098","8307",3,"Biobío","Negrete","CHL.6.2.7_1",,"CLBI22","08307",-37.5450286865234,-72.585199474579,10429
"36de04f6","8107",3,"Biobío","Penco","CHL.6.3.6_1",,"CLBI23","08107",-36.7644748687744,-72.9053717565007,49865
"a5e5cd09","8308",3,"Biobío","Quilaco","CHL.6.2.8_1",,"CLBI24","08308",-37.9490242004394,-71.55117765356,4179
"d2e2fd9f","8309",3,"Biobío","Quilleco","CHL.6.2.9_1",,"CLBI25","08309",-37.37766456604,-71.9075698061993,10032
"a6611967","8108",3,"Biobío","San Pedro de la Paz","CHL.6.3.2.2_0",,"CLBI26","08108",-36.88,-73.1,145906
