"id","country","state","city","lat","lng","pop","pop_14","pop_15_64","pop_65","pop_age","pop_density","pop_death_rate"
"Duchesne, Utah, US","US","Utah","Duchesne",40.29772254,-110.425237,19938,NA,NA,NA,NA,NA,NA
"Dukes and Nantucket, Massachusetts, US","US","Massachusetts","Dukes and Nantucket",41.40674725,-70.68763497,0,NA,NA,NA,NA,NA,NA
"Dukes, Massachusetts, US","US","Massachusetts","Dukes",41.40674725,-70.68763497,17332,NA,NA,NA,NA,NA,NA
"Dundy, Nebraska, US","US","Nebraska","Dundy",40.17638677,-101.6876522,1693,NA,NA,NA,NA,NA,NA
"Dunklin, Missouri, US","US","Missouri","Dunklin",36.27167174,-90.09122243,29131,NA,NA,NA,NA,NA,NA
"Dunn, North Dakota, US","US","North Dakota","Dunn",47.35423935,-102.6160468,4424,NA,NA,NA,NA,NA,NA
"Dunn, Wisconsin, US","US","Wisconsin","Dunn",44.94562799,-91.8962481,45368,NA,NA,NA,NA,NA,NA
"DuPage, Illinois, US","US","Illinois","DuPage",41.85116968,-88.08642662,922921,NA,NA,NA,NA,NA,NA
"Duplin, North Carolina, US","US","North Carolina","Duplin",34.93449805,-77.93140529,58741,NA,NA,NA,NA,NA,NA
"Durham, North Carolina, US","US","North Carolina","Durham",36.03638492,-78.87608331,321488,NA,NA,NA,NA,NA,NA
"Dutchess, New York, US","US","New York","Dutchess",41.7648606,-73.74356679,294218,NA,NA,NA,NA,NA,NA
"Duval, Florida, US","US","Florida","Duval",30.33225875,-81.66976468,957755,NA,NA,NA,NA,NA,NA
"Duval, Texas, US","US","Texas","Duval",27.68184592,-98.50864568,11157,NA,NA,NA,NA,NA,NA
"Dyer, Tennessee, US","US","Tennessee","Dyer",36.05931946,-89.41542855,37159,NA,NA,NA,NA,NA,NA
"Eagle, Colorado, US","US","Colorado","Eagle",39.62754308,-106.6933637,55127,NA,NA,NA,NA,NA,NA
"Early, Georgia, US","US","Georgia","Early",31.32155345,-84.90255207,10190,NA,NA,NA,NA,NA,NA
"East Baton Rouge, Louisiana, US","US","Louisiana","East Baton Rouge",30.53842039,-91.09777565,440059,NA,NA,NA,NA,NA,NA
"East Carroll, Louisiana, US","US","Louisiana","East Carroll",32.73926954,-91.23425694,6861,NA,NA,NA,NA,NA,NA
"East Feliciana, Louisiana, US","US","Louisiana","East Feliciana",30.84425359,-91.04976723,19135,NA,NA,NA,NA,NA,NA
"Eastland, Texas, US","US","Texas","Eastland",32.32743996,-98.83243566,18360,NA,NA,NA,NA,NA,NA
"Eaton, Michigan, US","US","Michigan","Eaton",42.59599185,-84.83740035,110268,NA,NA,NA,NA,NA,NA
"Eau Claire, Wisconsin, US","US","Wisconsin","Eau Claire",44.726614,-91.28609183,104646,NA,NA,NA,NA,NA,NA
"Echols, Georgia, US","US","Georgia","Echols",30.71101099,-82.89687287,4006,NA,NA,NA,NA,NA,NA
"Ector, Texas, US","US","Texas","Ector",31.86898877,-102.5429428,166223,NA,NA,NA,NA,NA,NA
"Eddy, New Mexico, US","US","New Mexico","Eddy",32.47167456,-104.3053527,58460,NA,NA,NA,NA,NA,NA
"Eddy, North Dakota, US","US","North Dakota","Eddy",47.71701474,-98.90432337,2287,NA,NA,NA,NA,NA,NA
"Edgar, Illinois, US","US","Illinois","Edgar",39.6809186,-87.74759563,17161,NA,NA,NA,NA,NA,NA
"Edgecombe, North Carolina, US","US","North Carolina","Edgecombe",35.91230639,-77.59436892,51472,NA,NA,NA,NA,NA,NA
"Edgefield, South Carolina, US","US","South Carolina","Edgefield",33.77221995,-81.96231108,27260,NA,NA,NA,NA,NA,NA
"Edmonson, Kentucky, US","US","Kentucky","Edmonson",37.21218923,-86.23955613,12150,NA,NA,NA,NA,NA,NA
"Edmunds, South Dakota, US","US","South Dakota","Edmunds",45.41846445,-99.21545423,3829,NA,NA,NA,NA,NA,NA
"Edwards, Illinois, US","US","Illinois","Edwards",38.41353228,-88.05720863,6395,NA,NA,NA,NA,NA,NA
"Edwards, Kansas, US","US","Kansas","Edwards",37.88735543,-99.31263309,2798,NA,NA,NA,NA,NA,NA
"Edwards, Texas, US","US","Texas","Edwards",29.98202582,-100.304252,1932,NA,NA,NA,NA,NA,NA
"Effingham, Georgia, US","US","Georgia","Effingham",32.36616021,-81.34280942,64296,NA,NA,NA,NA,NA,NA
"Effingham, Illinois, US","US","Illinois","Effingham",39.05935711,-88.58969584,34008,NA,NA,NA,NA,NA,NA
"El Dorado, California, US","US","California","El Dorado",38.77965956,-120.5233166,192843,NA,NA,NA,NA,NA,NA
"El Paso, Colorado, US","US","Colorado","El Paso",38.83240149,-104.5251411,720403,NA,NA,NA,NA,NA,NA
"El Paso, Texas, US","US","Texas","El Paso",31.76980765,-106.2363275,839238,NA,NA,NA,NA,NA,NA
"Elbert, Colorado, US","US","Colorado","Elbert",39.28656773,-104.1358721,26729,NA,NA,NA,NA,NA,NA
"Elbert, Georgia, US","US","Georgia","Elbert",34.11302332,-82.83936148,19194,NA,NA,NA,NA,NA,NA
"Elk, Kansas, US","US","Kansas","Elk",37.45338105,-96.24369667,2530,NA,NA,NA,NA,NA,NA
"Elk, Pennsylvania, US","US","Pennsylvania","Elk",41.42822061,-78.64524744,29910,NA,NA,NA,NA,NA,NA
"Elkhart, Indiana, US","US","Indiana","Elkhart",41.59761169,-85.85875695,206341,NA,NA,NA,NA,NA,NA
"Elko, Nevada, US","US","Nevada","Elko",41.14531606,-115.3577619,52778,NA,NA,NA,NA,NA,NA
"Elliott, Kentucky, US","US","Kentucky","Elliott",38.11624059,-83.09771563,7517,NA,NA,NA,NA,NA,NA
"Ellis, Kansas, US","US","Kansas","Ellis",38.91458712,-99.31751551,28553,NA,NA,NA,NA,NA,NA
