"id","id_isciii.es","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_apple_mobility","key_gadm","key_google_mobility","key_hasc","key_jhu_csse","key_local","key_nuts","latitude","longitude","population","population_data_source_url","population_data_source"
"dd858fdd","CU",3,"Castilla-La Mancha","Cuenca",,"ESP.4.3_1","ChIJPaBPpUf1Zw0RMMpLvvNAAwM","ES.CM.CU",,"16","ES423",39.94250488,-2.15317178074457,215165,"http://www.statoids.com/yes.html","Statoids (2011)"
"b9e94ad9","GU",3,"Castilla-La Mancha","Guadalajara",,"ESP.4.4_1","ChIJl9C4p3cuQw0RYMpLvvNAAwM","ES.CM.GJ",,"19","ES424",40.74032974,-2.50566865441632,257442,"http://www.statoids.com/yes.html","Statoids (2011)"
"2564f231","TO",3,"Castilla-La Mancha","Toledo",,"ESP.4.5_1","ChIJYWSMQ3lxag0RAMxLvvNAAwM","ES.CM.TD",,"45","ES425",39.78814697,-4.10342860755406,705516,"http://www.statoids.com/yes.html","Statoids (2011)"
"76babce5","AV",3,"Castilla y León","Ávila",,"ESP.5.1_1","ChIJj6yPsjuEQA0RgMnzWgeHBQM","ES.CL.AV",,"05","ES411",40.6245327,-4.83463425023909,171647,"http://www.statoids.com/yes.html","Statoids (2011)"
"c49ebe9c","BU",3,"Castilla y León","Burgos",,"ESP.5.2_1","ChIJ9ZsJuUntRQ0RwMnzWgeHBQM","ES.CL.BU",,"09","ES412",42.32509041,-3.67722301281548,372538,"http://www.statoids.com/yes.html","Statoids (2011)"
"47aa8376","LE",3,"Castilla y León","León",,"ESP.5.3_1","ChIJU7YQYQduNw0RsMrzWgeHBQM","ES.CL.LN",,"24","ES413",42.634120945,-5.9712726685575,493312,"http://www.statoids.com/yes.html","Statoids (2011)"
"280a7601","P",3,"Castilla y León","Palencia",,"ESP.5.4_1","ChIJJTy9az_URw0RUMvzWgeHBQM","ES.CL.PL",,"34","ES414",42.407125475,-4.62107691058294,170513,"http://www.statoids.com/yes.html","Statoids (2011)"
"8d9d49f1","SA",3,"Castilla y León","Salamanca",,"ESP.5.5_1","ChIJF53SGUzqPg0RgMvzWgeHBQM","ES.CL.SL",,"37","ES415",40.76654625,-6.0214339910501,350018,"http://www.statoids.com/yes.html","Statoids (2011)"
"64feecc4","SG",3,"Castilla y León","Segovia",,"ESP.5.6_1","ChIJr5ElYupOQQ0RsMvzWgeHBQM","ES.CL.SG",,"40","ES416",41.108983995,-4.18249434983643,163171,"http://www.statoids.com/yes.html","Statoids (2011)"
"6a2564f6","SO",3,"Castilla y León","Soria",,"ESP.5.7_1","ChIJo_8KEwbHRA0R0MvzWgeHBQM","ES.CL.SR",,"42","ES417",41.60160065,-2.72177718386103,94610,"http://www.statoids.com/yes.html","Statoids (2011)"
"f0eabdb4","VA",3,"Castilla y León","Valladolid",,"ESP.5.8_1","ChIJd2P6Oh5zRw0RIMzzWgeHBQM","ES.CL.VD",,"47","ES418",41.70434761,-4.69719325032447,532765,"http://www.statoids.com/yes.html","Statoids (2011)"
"5c5ff2b8","ZA",3,"Castilla y León","Zamora",,"ESP.5.9_1","ChIJJZxKNg10OQ0RQMzzWgeHBQM","ES.CL.ZM",,"49","ES419",41.686182025,-5.94287596028114,191613,"http://www.statoids.com/yes.html","Statoids (2011)"
"dbb30749","B",3,"Cataluña","Barcelona","Barcelona, Catalonia","ESP.6.1_1","ChIJZb1_yQvmpBIRsMmjIeD6AAM","ES.CT.BR",,"08","ES511",41.758371355,2.03121085693148,5522565,"http://www.statoids.com/yes.html","Statoids (2011)"
"ade81696","GI",3,"Cataluña","Gerona",,"ESP.6.2_1","ChIJRRrTHsPNuhIRQMqjIeD6AAM","ES.CT.GN",,"17","ES512",42.0729332,2.8369903097463,751806,"http://www.statoids.com/yes.html","Statoids (2011)"
"3c0b2a4e","L",3,"Cataluña","Lérida",,"ESP.6.3_1","ChIJJQQpq4R6phIRwMqjIeD6AAM","ES.CT.LD",,"25","ES513",42.07079506,1.18130636956914,438428,"http://www.statoids.com/yes.html","Statoids (2011)"
"2f67b218","T",3,"Cataluña","Tarragona",,"ESP.6.4_1","ChIJ7TlkZl9HoRIR4MujIeD6AAM","ES.CT.TG",,"43","ES514",41.052778245,0.625843598754586,807044,"http://www.statoids.com/yes.html","Statoids (2011)"
"6713d049","CE",3,"Ceuta","Ceuta",,"ESP.7.1_1",,"ES.CE.CE",,"51","ES630",35.89638901,-5.35890504429124,82376,"http://www.statoids.com/yes.html","Statoids (2011)"
"4b0c1ad8","M",3,"Comunidad de Madrid","Madrid","Madrid, Community of Madrid","ESP.8.1_1",,"ES.MD.MD",,"28","ES300",40.52218628,-3.7688478017641,6421874,"http://www.statoids.com/yes.html","Statoids (2011)"
"72f125ed","NA",3,"Comunidad Foral de Navarra","Navarra",,"ESP.9.1_1",,"ES.NA.NV",,"31","ES220",42.61185074,-1.83932841968019,640129,"http://www.statoids.com/yes.html","Statoids (2011)"
"42ba56f3","A",3,"Comunidad Valenciana","Alicante",,"ESP.10.1_1","ChIJfdrHtbc5Yg0RYMkh126vAgM","ES.VC.AN",,"03","ES521",38.365463255,-0.749053866422099,1852166,"http://www.statoids.com/yes.html","Statoids (2011)"
"34e62ae8","CS",3,"Comunidad Valenciana","Castellón",,"ESP.10.2_1","ChIJd-4zz4vzXw0R8Mkh126vAgM","ES.VC.CS",,"12","ES522",40.25243759,-0.0610496799156628,594423,"http://www.statoids.com/yes.html","Statoids (2011)"
"c169d334","V",3,"Comunidad Valenciana","Valencia","Valencia, Valencian Community","ESP.10.3_1","ChIJRchn1xjlYA0REMwh126vAgM","ES.VC.VN",,"46","ES523",39.33421326,-0.797216604871963,2563342,"http://www.statoids.com/yes.html","Statoids (2011)"
"de446ae1","BA",3,"Extremadura","Badajoz",,"ESP.11.1_1","ChIJ28y339ptFA0RkMmfjP1jBAM","ES.EX.BD",,"06","ES431",38.696458815,-6.22106823922444,691799,"http://www.statoids.com/yes.html","Statoids (2011)"
"29513a8c","CC",3,"Extremadura","Cáceres",,"ESP.11.2_1","ChIJEz0HKNv5FQ0R0MmfjP1jBAM","ES.EX.CC",,"10","ES432",39.75937462,-6.13814600971611,412701,"http://www.statoids.com/yes.html","Statoids (2011)"
"acb437df","C",3,"Galicia","La Coruña",,"ESP.12.1_1","ChIJGQVeRvRfLg0RIMrJc4L1BAM","ES.GA.AC",,"15","ES111",43.15250015,-8.58065116425466,1141286,"http://www.statoids.com/yes.html","Statoids (2011)"
"5a1d9312","LU",3,"Galicia","Lugo",,"ESP.12.2_1","ChIJU82ZLkW2MQ0R4MrJc4L1BAM","ES.GA.LG",,"27","ES112",43.03963089,-7.45636099500634,348067,"http://www.statoids.com/yes.html","Statoids (2011)"
"ef545572","OR",3,"Galicia","Orense",,"ESP.12.3_1","ChIJ3VJ27lykOg0RMMvJc4L1BAM","ES.GA.OR",,"32","ES113",42.19283867,-7.53721935985567,328697,"http://www.statoids.com/yes.html","Statoids (2011)"
"41083735","PO",3,"Galicia","Pontevedra",,"ESP.12.4_1","ChIJIVLRnnmDLw0RcMvJc4L1BAM","ES.GA.PV",,"36","ES114",42.364723205,-8.53421602734543,954877,"http://www.statoids.com/yes.html","Statoids (2011)"
"af065619","PM",3,"Islas Baleares","Baleares",,"ESP.13.1_1",,"ES.PM.BL",,"07","ES532",39.613332745,2.88000059,1100503,"http://www.statoids.com/yes.html","Statoids (2011)"
"a77f6a68","LO",3,"La Rioja","La Rioja",,"ESP.15.1_1",,"ES.LO.LR",,"26","ES230",42.284181595,-2.48298330903961,321173,"http://www.statoids.com/yes.html","Statoids (2011)"
"5eb1b237","ML",3,"Melilla","Melilla",,"ESP.7.2_1",,"ES.ML.ME",,"52","ES640",35.30152893,-2.95040840631618,78476,"http://www.statoids.com/yes.html","Statoids (2011)"
"fe313586","VI",3,"País Vasco","Álava",,"ESP.16.1_1","ChIJMzKUYhbATw0RQMnJc4L1BAM","ES.PV.AA",,"01","ES211",42.84442329,-2.68209936715302,320778,"http://www.statoids.com/yes.html","Statoids (2011)"
"7e2438b9","SS",3,"País Vasco","Guipúzcoa",,"ESP.16.2_1","ChIJzcnkHDg1UA0RcMrJc4L1BAM","ES.PV.GP",,"20","ES212",43.144805905,-2.20418521365678,708425,"http://www.statoids.com/yes.html","Statoids (2011)"
"d09fe2d3","BI",3,"País Vasco","Vizcaya",,"ESP.16.3_1","ChIJzxBUoQZOTg0RMMzJc4L1BAM","ES.PV.VZ",,"48","ES213",43.238744735,-2.85200409578912,1156190,"http://www.statoids.com/yes.html","Statoids (2011)"
"a5027bf4","O",3,"Principado de Asturias","Asturias",,"ESP.17.1_1",,"ES.AS.AS",,"33","ES120",43.27359009,-5.85352989311643,1075183,"http://www.statoids.com/yes.html","Statoids (2011)"
"4306a253","MU",3,"Región de Murcia","Murcia",,"ESP.18.1_1",,"ES.MU.MR",,"30","ES620",38.06281662,-1.6713370655604,1462128,"http://www.statoids.com/yes.html","Statoids (2011)"
